Feature Word,Priority Index Old,Proximity Score,Neighbour
Single,0.6013306968371159,0.3531669457470711,31
51-00,0.2254847504632474,0.3231176910750015,31
62-52,0.2254847504632474,0.3231176910750015,31
Fraction,0.5717461039679784,0.3314094205307888,31
Fraction,0.5717461039679784,0.3314094205307888,Bit
simple,0.4709893863127943,0.3231176910750015,31
63,0.2254847504632474,0.3231176910750015,31
gets,0.3884359909468871,0.3286051892204986,31
52,0.2254847504632474,0.3231176910750015,31
30-23,0.2254847504632474,0.3231176910750015,31
Bias,0.4709893863127943,0.3231176910750015,31
Bias,0.4709893863127943,0.3231176910750015,Bit
Bias,0.4709893863127943,0.3231176910750015,square
Exponent Fraction,0.6585957429883589,0.32786231023374934,31
Bias Single,0.6585957429883589,0.32786231023374934,31
Sign Bit,0.6585957429883589,0.3531669457470711,31
Exponent Fraction Bias,1.0,0.3231176910750015,brackets
Exponent Fraction Bias,1.0,0.3231176910750015,31
Exponent Fraction Bias,1.0,0.3231176910750015,Bit
Sign Exponent Fraction,1.0,0.3231176910750015,brackets
Sign Exponent Fraction,1.0,0.3231176910750015,31
Sign Exponent Fraction,1.0,0.3231176910750015,Bit
Sign Bit The,1.0,0.3231176910750015,brackets
Sign Bit The,1.0,0.3231176910750015,31
Bias Single Precision,1.0,0.3231176910750015,brackets
Bias Single Precision,1.0,0.3231176910750015,31
Bias Single Precision,1.0,0.3231176910750015,Bit
Exponent Fraction Bias Single,1.0,0.3231176910750015,brackets
Exponent Fraction Bias Single,1.0,0.3231176910750015,31
Exponent Fraction Bias Single,1.0,0.3231176910750015,Bit
Sign Exponent Fraction Bias,1.0,0.3231176910750015,brackets
Sign Exponent Fraction Bias,1.0,0.3231176910750015,31
Sign Exponent Fraction Bias,1.0,0.3231176910750015,Bit
positive,0.5273924522925523,0.3452634872714872,needs
needs,0.4709893863127943,0.3231176910750015,needs
Exponent,0.6013306968371159,0.33902979117069243,needs
flips,0.4709893863127943,0.3231176910750015,needs
Flipping,0.32514889549840736,0.32010813679668854,needs
bit,0.8301501645749565,0.3231176910750015,positive
bit,0.8301501645749565,0.3231176910750015,needs
field,0.5945128970666803,0.33940142980412635,needs
bit flips,0.23504666712409938,0.3231176910750015,positive
bit flips,0.23504666712409938,0.3231176910750015,needs
order,0.350973832245371,0.3988297594269094,added
added,0.37953173992673667,0.4618870079377283,added
get,0.3884359909468871,0.35799336705045387,added
bias,0.6013306968371159,0.283416377330617,added
actual,0.32514889549840736,0.35533672090021406,added
indicates,0.4709893863127943,0.29564302077933013,200
200,0.2254847504632474,0.29564302077933013,200
200-127,0.2254847504632474,0.21321900989231596,200
73,0.2254847504632474,0.20242212361550296,200
known,0.32524130595409284,0.3231176910750015,reserved
reserved,0.41691142834516903,0.39269598893880797,reserved
bits,0.6989797534111973,0.3300768422753189,reserved
exponents,0.5717461039679784,0.3627419733464657,reserved
also,0.04214087151182851,0.314200822001691,reserved
significand,0.6168298771263208,0.4033834891311468,reserved
later,0.27517482789277614,0.4650800720087102,reserved
-127,0.6168298771263208,0.33279979320517217,reserved
128,0.2254847504632474,0.35190573110494605,reserved
1023,0.6429842508848058,0.4033834891311468,reserved
exponent,1.0,0.28561183704948523,reserved
Mantissa,0.4709893863127943,0.39269598893880797,reserved
reasons,0.4167097999262129,0.4370022493971195,reserved
precision bits,0.23504666712409938,0.5573510023174785,reserved
consider,0.5717461039679784,0.3392006393450402,expressed
expressed,0.41691142834516903,0.3231176910750015,expressed
implicit,0.6289094815187359,0.3392006393450402,expressed
find,0.20511026450257006,0.3231176910750015,expressed
notation,0.6013306968371159,0.4490483321847707,expressed
many,0.056920541465155385,0.31187313391560373,expressed
different,0.25989713495926897,0.3231176910750015,expressed
scientific,0.4068695076045183,0.3231176910750015,expressed
102,0.5811816291659565,0.2983230964281555,typically
typically,0.4068695076045183,0.3591076368170222,typically
quantity,0.4709893863127943,0.3231176910750015,typically
5000,0.2254847504632474,0.2983230964281555,typically
10-3,0.2254847504632474,0.2828858352551687,typically
maximize,0.4709893863127943,0.3231176910750015,typically
digit,0.44820085197121884,0.33362499671877927,basically
basically,0.4068695076045183,0.337174430147626,basically
first,0.19045388238829214,0.289472018231245,basically
non-zero,0.7807661274445277,0.3231176910750015,basically
puts,0.3683754042265734,0.33362499671877927,basically
radix point,0.7468904413277068,0.3231176910750015,basically
100,0.4908667816045774,0.3743270492791861,since
since,0.32514889549840736,0.3376247225512499,since
little,0.25989713495926897,0.34487823828937403,since
represented,0.7051132615878637,0.30430314406420794,since
available,0.25989713495926897,0.3376247225512499,since
optimization,0.4709893863127943,0.3743270492791861,since
possible,0.32514889549840736,0.34487823828937403,since
five,0.40335411685477374,0.33983471674588245,since
form,0.4866894806932859,0.4717513053370853,since
us,0.32514889549840736,0.33398375776107414,since
nice,0.4709893863127943,0.3487223701770938,since
normalized,0.5576737272860517,0.32479989533107384,since
don't,0.32514889549840736,0.19408330103576038,explicitly
explicitly,0.32514889549840736,0.1019158795791596,explicitly
assume,0.4709893863127943,0.19408330103576038,explicitly
Ranges,0.4709893863127943,0.4223694669101392,second
second,0.1696223348985226,0.3231176910750015,second
sum,0.5717461039679784,0.4668251537963761,second
contains,0.4709893863127943,0.42613051328050605,second
effectively,0.4068695076045183,0.4223694669101392,second
Numbers,0.6013306968371159,0.6151307719092488,second
23,0.5811816291659565,0.5528244095310418,second
Putting,0.32514889549840736,0.3257101728758439,second
exponent's,0.4709893863127943,0.45497410349804734,second
way,0.5370919221414228,0.5816491009209932,second
double,0.496283773125116,0.47955873163431495,second
result,0.6013306968371159,0.4253222693669881,second
Let's,0.4709893863127943,0.4277344277660926,second
127,0.681351830561725,0.3370394112311959,second
floats,0.511924253279412,0.5525209925090593,second
precision,0.7727032555633585,0.3231176910750015,second
Together,0.32514889549840736,0.3264172133669827,second
plus,0.4068695076045183,0.3700610985645936,second
assumed,0.5058376129610861,0.5525209925090593,second
single-precision,0.8008320328126942,0.3231176910750015,second
single-precision,0.8008320328126942,0.3231176910750015,sum
resolution,0.6013306968371159,0.38638719192242177,second
consider single-precision,0.6234995314751898,0.7867812055655744,second
single-precision floats,0.23504666712409938,0.3231176910750015,second
single-precision floats,0.23504666712409938,0.3231176910750015,sum
broader,0.32514889549840736,0.3231176910750015,cover
cover,0.4709893863127943,0.29941749698616127,cover
range,0.6289094815187359,0.30422904311029164,cover
fields,0.4709893863127943,0.2836173675936012,cover
essentially,0.32514889549840736,0.3231176910750015,cover
taking,0.25989713495926897,0.32726255721107245,cover
taking,0.25989713495926897,0.32726255721107245,range
we're,0.32514889549840736,0.3231176910750015,cover
give,0.0,0.21778554294312089,it's
it's,0.3884359909468871,0.3231176910750015,it's
Something,0.4709893863127943,0.3231176910750015,it's
32-bits,0.4211573137952143,0.34766494667234954,integers
integers,0.6829910213508917,0.3096152452848738,integers
precisely,0.32514889549840736,0.3506122164542307,integers
store,0.4709893863127943,0.3231176910750015,integers
store,0.4709893863127943,0.3231176910750015,precisely
centered,0.37953173992673667,0.3506122164542307,integers
regular,0.25989713495926897,0.36456635243571117,integers
store integers,0.23504666712409938,0.3231176910750015,integers
store integers,0.23504666712409938,0.3231176910750015,precisely
Single-precision,0.6168298771263208,0.24838412395251702,24
24,0.5113321092140548,0.3231176910750015,24
unable,0.32514889549840736,0.29546746463802126,24
match,0.4709893863127943,0.3231176910750015,24
end,0.23893325610391228,0.3338621544101655,truncating
truncating,0.32514889549840736,0.38031245657989504,truncating
however,0.31781481077302776,0.5395589678323771,truncating
lower,0.29048394609579636,0.38031245657989504,truncating
approximate,0.4709893863127943,0.31102886060287827,truncating
exact,0.2381954470907141,0.5707989154827807,00001111
00001111,0.2254847504632474,0.4757331582741819,00001111
value,0.8666678791918614,0.321222647337185,00001111
Corresponding,0.32514889549840736,0.3231176910750015,00001111
231,0.2254847504632474,0.4248613358744551,00001111
approximates,0.4709893863127943,0.3133929584774516,00001111
doesn't,0.25989713495926897,0.4248613358744551,00001111
10101010,0.6429842508848058,0.41125268501900414,00001111
32-bit,0.7496516365134511,0.3231176910750015,00001111
Single-Precision,0.6168298771263208,0.39920545234845944,00001111
//,0.7607002220772218,0.3231176910750015,00001111
integer,0.4709893863127943,0.31436543173720655,00001111
00000000,0.2254847504632474,0.37964193818580905,00001111
11001100,0.6429842508848058,0.35986665388697947,00001111
Float,0.5717461039679784,0.3382681519435025,00001111
11110000,0.5811816291659565,0.39920545234845944,00001111
// Single-Precision,0.6234995314751898,0.38002101238267016,00001111
lack,0.3884359909468871,0.3905952818410128,Negative
Negative,0.4770528355920837,0.8215969108259693,Negative
fractional,0.32514889549840736,0.42772944207476116,Negative
full,0.21767956610963696,0.5377557476036909,Negative
ranges,0.5717461039679784,0.45429164483129925,Negative
-2-149,0.6168298771263208,0.5039659344681118,Negative
values,0.7727032555633585,0.9384333767248401,Negative
Positive,0.4770528355920837,0.9422813535025195,Negative
numbers,0.6707708970844576,0.6751273735410647,Negative
232,0.2254847504632474,0.633989076886989,Negative
means,0.4937779206543698,0.7541593811105964,Negative
negation,0.4709893863127943,0.4597892325852715,Negative
Approximate,0.4709893863127943,0.6746767197414735,Negative
greater,0.4068695076045183,0.7254286433025112,Negative
completely,0.32514889549840736,0.422651201734967,Negative
besides,0.29048394609579636,0.6716829381185968,Negative
2-149,0.5811816291659565,0.48175349523947525,Negative
given,0.27365080922687013,0.5199158341432799,Negative
leading,0.5273924522925523,0.48530182060445676,Negative
Precision,0.6289094815187359,0.4662752636767771,Negative
sign,0.6989797534111973,0.4665228309886852,Negative
2127,0.713605921010988,0.4843679631248462,Negative
underflow,0.5717461039679784,0.43181298857408756,Negative
negative,0.5273924522925523,0.5586192008106714,Negative
preserve,0.4709893863127943,0.7953611624180237,Negative
ability,0.4709893863127943,1.0,Negative
point,0.800867906367688,0.39281700074401105,Negative
much,0.25502858396050093,0.6265566322393394,Negative
2-1074,0.2254847504632474,0.5219061962881091,Negative
grown,0.30316336195592064,0.7603971561445412,Negative
split,0.4709893863127943,0.8215969108259693,Negative
numerical,0.32514889549840736,0.4499827210643124,Negative
hand,0.5656062822321501,0.9602494041117337,Negative
around,0.4176028320629087,0.4529372456707739,Negative
Since,0.21767956610963696,0.6174739874986517,Negative
Overflow,0.4709893863127943,0.5216020194453058,Negative
fractions's,0.6168298771263208,0.44609542401546115,Negative
discussed,0.5058376129610861,0.5586192008106714,Negative
maximum,0.511924253279412,0.7101161372676086,Negative
compared,0.32514889549840736,0.4135103691233375,Negative
Double,0.4419611715978707,0.48433752523050777,Negative
portion,0.4709893863127943,0.7114067675125976,Negative
Zero Positive,0.6585957429883589,0.4662752636767771,Negative
Single Precision,0.7764198898392879,0.4140942818305063,Negative
Decimal Single,0.7764198898392879,0.41197854716177357,Negative
Approximate Decimal,0.6585957429883589,0.6751273735410647,Negative
overflow integers,0.23504666712409938,0.7664244759606808,Negative
maximum value,0.7468904413277068,0.5354398825204134,Negative
represent numbers,0.6589583057597919,0.8730427676842059,Negative
point numbers,0.80876166678124,0.377319840565401,Negative
Decimal Single Precision,1.0,0.3231176910750015,lack
Decimal Single Precision,1.0,0.3231176910750015,Negative
Approximate Decimal Single,1.0,0.3231176910750015,lack
Approximate Decimal Single,1.0,0.3231176910750015,Negative
Approximate Decimal Single,1.0,0.3231176910750015,fractional
Approximate Decimal Single,1.0,0.3231176910750015,full
Approximate Decimal Single Precision,1.0,0.3231176910750015,lack
Approximate Decimal Single Precision,1.0,0.3231176910750015,Negative
Approximate Decimal Single Precision,1.0,0.3231176910750015,fractional
Approximate Decimal Single Precision,1.0,0.3231176910750015,full
filled,0.41691142834516903,0.5465953985490765,extreme
extreme,0.3884359909468871,0.6113773424485636,extreme
2-2-52,0.2254847504632474,0.5475220736730659,extreme
regardless,0.4709893863127943,0.4415824366113318,extreme
2-2-23,0.5811816291659565,0.48378004057130375,extreme
21023,0.5811816291659565,0.4296621965304441,extreme
reserves,0.3884359909468871,0.5397200236534144,extreme
1s,0.713605921010988,0.3327135357624306,extreme
occur,0.32514889549840736,0.46497678492386,extreme
effective,0.32514889549840736,0.5088855520675544,extreme
mentioned,0.5058376129610861,0.510507379468833,extreme
we'd,0.32514889549840736,0.5011353132142967,extreme
approximated,0.41691142834516903,0.47915943421168133,extreme
finite,0.32514889549840736,0.4526466391674544,extreme
directly,0.32514889549840736,0.46998222933992007,extreme
assumption,0.4709893863127943,0.4382381475405722,extreme
scheme,0.4709893863127943,0.4194203806183155,extreme
specify,0.4709893863127943,0.44709356726869304,extreme
normalizing,0.32514889549840736,0.41978108517384694,extreme
Underflow,0.4709893863127943,0.4105649608901946,extreme
closely,0.32514889549840736,0.5240847406942177,extreme
yield,0.36750915963350395,0.8130205029230803,extreme
Note,0.3589695077764248,0.8130205029230803,extreme
table,0.32514889549840736,0.5139519482764422,extreme
due,0.32514889549840736,0.48333355100036723,extreme
straight,0.32514889549840736,0.47888311044688486,extreme
Values,0.5717461039679784,0.40738701894268364,extreme
infinite,0.4068695076045183,0.5397200236534144,extreme
less,0.4419611715978707,0.6364215687838686,extreme
guaranteed,0.32514889549840736,0.5291511369031056,extreme
format,0.4709893863127943,0.4338104376765118,extreme
